run,pattern,uptake_factor,peak_ngu,auc_ngu_ms,excess_auc_ngu_ms,time_above_ms,near_saturation_ms,clearance_ms
194,Burst,0.75,4.593380780599338,748.3798400206258,387.3400421438826,284.0,173.0,91.75
195,Burst,0.75,4.353020216777169,719.6987984520265,366.25612775028793,274.5,168.25,92.25
196,Burst,0.75,4.287801013529196,717.6427347771327,363.70034420380694,274.5,169.75,88.5
197,Burst,0.75,4.2441227694009624,798.9180908989055,426.15411450823757,298.0,186.75,94.25
198,Burst,0.75,4.178828234852667,738.2336621492391,381.4562325387319,280.0,173.75,91.25
199,Burst,0.75,4.148753513110044,704.8777527055713,355.38247824312475,269.5,162.5,92.5
200,Burst,0.75,4.221850689074745,752.120180317377,388.21717926815404,283.75,176.75,94.25
201,Burst,0.75,4.112652603142693,738.387703684966,378.4788850840382,284.75,173.25,97.25
202,Burst,0.75,4.124493810754508,738.0124213590511,378.47084435963484,282.75,173.0,97.5
203,Burst,0.75,4.461843056287638,826.6637686760685,449.9840249439057,296.75,192.5,103.0
204,Burst,0.75,4.422271686023372,779.8704018617161,411.3938336866712,295.5,186.0,92.0
205,Burst,0.75,4.8148455191788315,802.250414306923,431.3614954462052,292.0,186.25,87.25
206,Burst,0.75,4.1945012092740726,726.0056664266847,369.80374842669346,278.5,168.5,89.25
207,Burst,0.75,4.116295018587418,724.0264048729484,369.36945510243754,278.0,171.75,91.25
208,Burst,0.75,4.2315083889824185,737.1208804817296,379.66143159550995,282.5,175.5,90.0
209,Burst,0.75,4.476406845688853,876.8489725798948,487.83016158693414,314.0,203.75,100.5
210,Burst,0.75,4.366522347870347,796.4183463690196,425.20352946104146,291.0,185.5,97.25
211,Burst,0.75,4.772413564140116,850.0484337068087,467.2287004750956,309.0,201.25,98.5
212,Burst,0.75,4.69365233084881,791.5496075075213,421.2006855663316,290.25,184.5,91.75
213,Burst,0.75,4.287425192154606,749.5511149626635,388.1922672783774,285.5,176.75,90.75
214,Burst,0.75,4.339415756325861,796.8638794704549,426.01562675055317,299.75,187.25,91.25
215,Burst,0.75,4.094142301525501,694.2643495381673,345.94153779426006,267.75,160.0,84.75
216,Burst,0.75,4.720523776424129,798.8632488439661,426.86145519430505,291.75,186.25,107.0
217,Burst,0.75,3.931411865264349,680.1616265605986,335.3311046078239,265.75,156.5,94.5
218,Burst,0.75,4.3370100412921095,751.494335489107,389.3607731714167,290.0,176.0,90.25
219,Burst,0.75,4.122677557631928,748.8017600614272,387.9401116565682,282.0,177.75,92.0
220,Burst,0.75,4.613612976328128,762.9831934387938,401.0495637951488,282.0,180.75,95.25
221,Burst,0.75,4.299737190618801,787.2497029483101,418.16984633081347,295.0,185.0,89.75
222,Burst,0.75,4.059073039324394,723.8977463944573,368.9367804604075,275.0,167.0,95.5
223,Burst,0.75,4.470249812395762,771.5849497038088,406.357884524901,284.75,181.25,96.5
