model,pulse_size_over_km,burst_interval_over_single_pulse_t90,burst_tonic_auc_ratio
Transporter-state,0.1261914688960387,0.1156351816596742,0.9951643848514651
Transporter-state,0.15171551500583677,0.1156351816596742,0.9963672091276101
Transporter-state,0.18240216787118196,0.1156351816596742,0.997293965904526
Transporter-state,0.21929563922863704,0.1156351816596742,0.9980252819819506
Transporter-state,0.2636513477112815,0.1156351816596742,0.9985933816243207
Transporter-state,0.3169786384922227,0.1156351816596742,0.999020526407511
Transporter-state,0.38109214359264953,0.1156351816596742,0.9993317499402898
Transporter-state,0.45817353055355475,0.1156351816596742,0.9995532650841431
Transporter-state,0.5508457406676333,0.1156351816596742,0.999708509716534
Transporter-state,0.6622622429651823,0.1156351816596742,0.9998162364539884
Transporter-state,0.7962143411069947,0.1156351816596742,0.9998904731508688
Transporter-state,0.9572601846452766,0.1156351816596742,0.9999413158742654
Transporter-state,1.150879874674314,0.1156351816596742,0.9999758834738623
Transporter-state,1.3836619418378735,0.1156351816596742,0.9999991490234348
Transporter-state,1.663527542205342,0.1156351816596742,1.000014575785853
Transporter-state,2.0,0.1156351816596742,1.0000245789746216
Linear,0.02,0.13902406629995,0.9999999999999953
Linear,0.024045288692348264,0.13902406629995,1.0000000000000042
Linear,0.02890879541491855,0.13902406629995,1.0000000000000038
Linear,0.03475601657498751,0.13902406629995,0.9999999999999959
Linear,0.0417859226170808,0.13902406629995,1.000000000000004
Linear,0.050237728630191596,0.13902406629995,1.0000000000000029
Linear,0.06039903440804033,0.13902406629995,1.0000000000000013
Linear,0.07261561095402029,0.13902406629995,0.9999999999999992
Linear,0.08730316644803322,0.13902406629995,0.9999999999999968
Linear,0.10496149204995453,0.13902406629995,1.0000000000000024
Linear,0.1261914688960387,0.13902406629995,0.9999999999999984
Linear,0.15171551500583677,0.13902406629995,1.0000000000000042
Linear,0.18240216787118196,0.13902406629995,1.0000000000000007
Linear,0.21929563922863704,0.13902406629995,0.9999999999999987
Linear,0.2636513477112815,0.13902406629995,1.0000000000000007
Linear,0.3169786384922227,0.13902406629995,0.9999999999999976
Linear,0.38109214359264953,0.13902406629995,0.999999999999997
Linear,0.45817353055355475,0.13902406629995,1.0000000000000009
Linear,0.5508457406676333,0.13902406629995,0.9999999999999948
Linear,0.6622622429651823,0.13902406629995,0.9999999999999989
Linear,0.7962143411069947,0.13902406629995,0.999999999999999
Linear,0.9572601846452766,0.13902406629995,0.9999999999999998
Linear,1.150879874674314,0.13902406629995,0.9999999999999993
