run,model,pattern,release_cv,isi_cv,minimum_isi_ms,gamma_shape,peak_km,auc_km_ms,excess_auc_km_ms,clearance_ms,minimum_free_fraction
149,Linear,Renewal,0.0,0.5967001001892478,10.661489148028636,2.593116658393063,0.250000000000045,1.8667690465374922,9.059419880941278e-16,1.68,1.0
150,Linear,Renewal,0.0,0.3478796015465786,14.222700384131997,4.678695101422092,0.25,1.8667690465374907,0.0,1.68,1.0
151,Linear,Renewal,0.0,0.5800968926960778,4.141049024759354,2.880403627161638,0.2500028080349073,1.8667690465374922,5.6160698193030714e-08,1.68,1.0
152,Linear,Renewal,0.0,0.2398739404740478,29.920147108652145,13.528595481173824,0.25,1.8667690465374907,0.0,1.68,1.0
153,Linear,Renewal,0.0,0.31651158991488926,19.639928044890894,11.390893769928251,0.25,1.8667690465374907,0.0,1.68,1.0
154,Linear,Renewal,0.0,0.4718789105062167,6.790802774847634,4.534603192619984,0.25000000195963723,1.866769046537492,3.932053016519887e-11,1.68,1.0
155,Linear,Renewal,0.0,0.39884148697674426,14.023559803197315,3.8997679591935666,0.25,1.8667690465374907,0.0,1.68,1.0
156,Linear,Renewal,0.0,0.1936456562667132,27.608205273251542,18.399752430320753,0.25,1.8667690465374907,0.0,1.68,1.0
157,Linear,Renewal,0.0,2.1478964353948062,9.479164759795822e-06,0.20942504935534687,0.739567512142829,1.8667690465375057,0.22659744902421264,1.68,1.0
158,Linear,Renewal,0.0,1.2889377349802864,0.18609615708714955,0.5260746738677675,0.3941557340381203,1.8667690465374953,0.018540753237312833,1.68,1.0
159,Linear,Renewal,0.0,0.36867834186254356,12.978892587904625,9.650440184696741,0.25000000000000006,1.8667690465374907,1.1102230246251566e-18,1.68,1.0
160,Linear,Renewal,0.0,1.0862508406856903,3.5648867563310205,0.6632194162428227,0.25001386168320905,1.8667690465374986,4.99668833249256e-07,1.68,1.0
161,Linear,Renewal,0.0,1.2868982498757058,2.6227177025115793,1.0665741829834705,0.2501843418757236,1.8667690465375029,3.85842777836376e-06,1.68,1.0
162,Linear,Renewal,0.0,0.4430404306140937,12.760650761842442,4.398334944319785,0.25000000000000017,1.8667690465374907,3.3306690738754695e-18,1.68,1.0
163,Linear,Renewal,0.0,0.9907399496839465,0.6521189857742229,0.495008974554496,0.29293328446448264,1.8667690465375013,0.003302636578448501,1.68,1.0
164,Linear,Renewal,0.0,0.9936105818800989,1.5912673215799487,0.9141905712863039,0.2530554506379826,1.866769046537498,6.239138775084197e-05,1.68,1.0
165,Linear,Renewal,0.0,1.0761332339948326,2.8166924645772724,1.5121334136458144,0.2501123121446774,1.8667690465375026,2.3550134158478727e-06,1.68,1.0
166,Linear,Renewal,0.0,0.3397926447951746,14.239865846195187,5.1021074120336225,0.25,1.8667690465374907,0.0,1.68,1.0
167,Linear,Renewal,0.0,0.429975096675896,19.56338383357138,7.1878822964324875,0.25,1.8667690465374907,0.0,1.68,1.0
168,Linear,Renewal,0.0,1.3844343330341131,4.470007297641132e-07,0.21445495429556327,0.6536029790923491,1.8667690465375018,0.18271010168681967,1.68,1.0
