run,model,pattern,release_cv,peak_km,auc_km_ms,excess_auc_km_ms,clearance_ms,minimum_free_fraction
213,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
214,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
215,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
216,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
217,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
218,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
219,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
220,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
221,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
222,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
223,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
224,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
225,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
226,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
227,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
228,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
229,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
230,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
231,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
232,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
233,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
234,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
235,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
236,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
237,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
238,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
239,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
240,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
241,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
242,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
243,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
244,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
245,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
246,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
247,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
248,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
249,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
250,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
251,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
252,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
253,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
254,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
255,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
256,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
257,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
258,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
259,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
260,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
261,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
262,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
263,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
264,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
265,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
266,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
267,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
268,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
269,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
270,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
271,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
272,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
273,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
274,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
275,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
276,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
277,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
278,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
279,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
280,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
281,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
282,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
283,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
284,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
285,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
286,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
287,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
288,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
289,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
290,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
291,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
292,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
293,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
294,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
295,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
296,Linear,Tonic,0.0,0.25,1.8667690465374907,0.0,1.68,1.0
